fecha,prediccion,CATEGORIA,PRODUCTO,tipo
2025-11-21 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-22 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-23 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-24 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-25 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-26 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-27 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-28 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-29 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-30 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-01 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-02 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-03 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-04 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-05 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-06 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-07 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-08 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-09 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-10 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-11 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-12 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-13 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-14 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-15 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-16 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-17 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-18 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-19 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-20 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-21 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-22 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-23 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-24 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-25 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-26 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-27 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-28 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-29 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-30 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-12-31 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-01 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-02 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-03 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-04 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-05 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-06 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-07 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-08 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-09 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-10 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-11 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-12 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-13 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-14 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-15 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-16 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-17 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-18 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-19 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-20 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-21 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-22 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-23 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-24 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-25 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-26 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-27 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-28 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-29 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-30 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-01-31 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-02-01 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-02-02 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-02-03 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2026-02-04 12:12:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Grande,futuro
2025-11-07 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-08 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-09 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-10 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-11 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-12 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-13 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-14 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-15 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-16 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-17 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-18 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-19 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-20 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-21 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-22 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-23 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-24 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-25 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-26 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-27 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-28 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-29 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-11-30 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-01 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-02 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-03 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-04 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-05 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-06 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-07 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-08 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-09 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-10 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-11 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-12 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-13 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-14 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-15 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-16 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-17 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-18 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-19 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-20 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-21 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-22 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-23 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-24 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-25 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-26 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-27 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-28 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-29 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-30 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
2025-12-31 18:20:01,0.0,Pastelería Crema,Pastel Fresas c/Crema Mediano,futuro
